Q9_1,Q9_2,Q9_3,Q11_1,Q11_2,Q11_3,Q18_1,Q18_2,Q18_3,Q22_1,Q22_2,Q22_3,Q14_1,Q14_2,Q14_3,Q16_1,Q16_2,Q16_3,Q20_1,Q20_2,Q20_3
a,b,a_and_b,c,d,c_and_d,c,b,c_or_b,d,a,a_or_d,b,d,b_or_d,c,a_and_c,a,a,b,a_or_b
3,2,1,2,1,3,2,1,3,1,3,2,2,1,3,1,3,2,3,1,2
2,1,3,2,3,1,3,1,2,3,1,2,1,2,3,2,3,1,2,1,3
2,1,3,1,2,3,1,3,2,2,1,3,1,3,2,1,2,3,2,3,1
3,2,1,3,2,1,2,1,3,3,2,1,2,1,3,3,1,2,1,3,2
1,3,2,3,1,2,2,3,1,1,3,2,3,1,2,3,2,1,1,3,2
2,1,3,1,2,3,2,3,1,1,2,3,3,2,1,1,3,2,3,1,2
3,1,2,1,3,2,2,3,1,3,2,1,1,3,2,1,2,3,3,2,1
2,1,3,2,3,1,2,1,3,3,1,2,1,2,3,1,2,3,2,3,1
2,1,3,3,2,1,2,1,3,1,2,3,1,2,3,3,1,2,1,3,2
1,2,3,1,2,3,3,2,1,3,1,2,3,1,2,2,3,1,2,3,1
3,1,2,1,3,2,1,3,2,3,1,2,2,3,1,1,2,3,1,3,2
2,1,3,1,2,3,2,3,1,1,2,3,3,1,2,1,2,3,1,2,3
1,2,3,2,3,1,2,1,3,3,1,2,3,1,2,2,1,3,1,3,2
3,2,1,3,1,2,2,1,3,3,2,1,2,1,3,1,3,2,2,1,3
3,2,1,2,3,1,3,2,1,1,2,3,2,1,3,2,3,1,1,2,3
3,1,2,1,2,3,3,1,2,1,2,3,1,3,2,2,3,1,2,1,3
1,3,2,1,2,3,3,1,2,3,2,1,1,3,2,1,3,2,1,2,3
3,2,1,1,2,3,2,1,3,3,2,1,1,2,3,3,1,2,3,1,2
2,1,3,2,1,3,3,1,2,1,2,3,2,3,1,1,2,3,1,2,3
1,3,2,1,2,3,1,2,3,3,2,1,1,2,3,1,3,2,2,3,1
1,2,3,1,2,3,3,2,1,2,1,3,3,2,1,3,2,1,2,3,1
1,3,2,1,2,3,3,2,1,3,1,2,1,2,3,1,3,2,2,1,3
2,3,1,1,2,3,3,1,2,2,1,3,2,3,1,1,3,2,1,3,2
3,1,2,1,3,2,2,3,1,3,1,2,1,3,2,1,3,2,3,1,2
1,3,2,1,2,3,2,1,3,2,3,1,1,2,3,1,3,2,2,3,1
1,3,2,2,3,1,1,2,3,1,2,3,3,2,1,2,3,1,2,1,3
1,3,2,2,3,1,2,1,3,2,1,3,1,2,3,1,2,3,1,3,2
3,2,1,1,3,2,3,1,2,1,2,3,2,3,1,2,1,3,1,3,2
3,2,1,1,2,3,1,3,2,2,3,1,1,2,3,1,3,2,1,2,3
2,1,3,1,2,3,3,1,2,3,2,1,2,3,1,3,1,2,3,1,2
3,2,1,3,1,2,1,2,3,1,3,2,1,3,2,1,3,2,1,3,2
2,1,3,3,2,1,3,1,2,2,1,3,3,2,1,3,1,2,1,3,2
3,1,2,1,3,2,1,2,3,2,1,3,1,2,3,2,1,3,1,3,2
2,1,3,2,1,3,2,3,1,2,1,3,2,3,1,2,3,1,3,2,1
1,3,2,1,2,3,3,2,1,1,2,3,3,2,1,3,1,2,2,3,1
2,1,3,1,2,3,1,2,3,2,1,3,2,3,1,2,3,1,2,1,3
1,3,2,1,2,3,2,3,1,2,3,1,1,3,2,2,1,3,3,1,2
3,1,2,1,3,2,3,2,1,2,1,3,1,3,2,1,2,3,2,1,3
1,3,2,1,2,3,2,3,1,2,3,1,2,3,1,1,3,2,2,3,1
3,1,2,1,3,2,1,3,2,3,2,1,2,1,3,1,2,3,3,1,2
1,3,2,3,2,1,2,3,1,2,1,3,1,2,3,1,3,2,2,1,3
1,3,2,1,2,3,3,1,2,1,3,2,3,1,2,2,3,1,2,3,1
3,2,1,1,2,3,3,2,1,3,2,1,1,2,3,1,2,3,3,2,1
2,1,3,1,3,2,1,2,3,1,2,3,1,3,2,2,3,1,3,1,2
1,2,3,1,2,3,3,2,1,2,1,3,3,2,1,1,2,3,2,1,3
2,1,3,1,2,3,3,2,1,3,2,1,1,3,2,1,3,2,3,2,1
1,3,2,3,1,2,3,2,1,1,2,3,3,1,2,2,3,1,1,3,2
2,1,3,1,2,3,1,3,2,3,1,2,1,3,2,1,3,2,2,1,3
2,3,1,3,2,1,2,1,3,2,1,3,2,1,3,2,1,3,2,3,1
2,1,3,3,2,1,2,1,3,1,2,3,2,3,1,1,2,3,1,3,2
2,3,1,2,3,1,3,1,2,2,3,1,1,2,3,3,1,2,1,2,3
